Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	263	265	250	265	240	257	174	186	156	257	285	247	233	260	260	204	207	197	252	223	215	249	232	163	187	225	263	241	245	164	177	232	212	274	185	221	288	169	227	190	274	219	170	217	253	189	238	211	250	228	232	184	264	221	285	225	217	227	195	200	233	169	288	223	237	240	211	234	233	238	214	210	143	149	221	227	239	225	195	275	252	245	251	173	221	256	291	220	141	147	252	310	228	141	233	297	280	213	175	217	
1	145	219	141	85	152	177	59	55	48	275	194	210	204	152	218	87	82	105	209	157	237	91	145	63	144	141	222	127	114	71	68	155	107	121	104	88	203	34	208	90	212	68	67	84	183	112	177	205	200	112	176	58	203	131	199	86	176	109	107	91	165	37	215	111	129	188	131	137	126	179	141	214	36	118	134	103	139	46	182	226	131	121	196	73	87	242	224	112	43	30	114	257	139	50	127	192	170	148	72	78	
2	45	165	62	0	79	49	10	0	6	266	109	181	102	57	138	33	14	17	198	68	195	15	63	21	22	47	167	53	32	15	7	104	39	29	26	24	160	5	168	4	110	2	12	6	65	28	88	98	135	101	136	5	98	40	102	10	124	43	45	13	103	2	180	38	40	64	24	106	51	185	55	190	4	46	77	23	67	6	152	201	43	109	68	7	19	146	137	24	2	0	31	199	59	20	7	89	49	38	5	18	
3	0	72	30	0	2	2	0	0	1	203	64	100	35	0	77	0	0	2	172	27	137	8	24	0	1	10	160	0	0	7	4	72	7	0	4	1	79	0	51	0	17	0	1	0	36	0	63	23	33	51	103	0	23	15	28	0	45	1	10	1	14	0	121	0	10	2	1	100	0	169	22	120	0	8	18	1	54	0	163	170	2	84	3	5	0	107	57	2	0	0	4	108	2	15	7	30	5	8	1	0	
4	0	15	8	0	0	0	0	0	0	216	19	69	0	0	19	0	0	0	141	0	76	1	3	0	0	2	137	0	0	1	0	27	2	0	0	1	44	0	1	0	0	0	0	0	1	0	3	5	1	7	81	0	0	4	4	0	11	0	0	0	0	0	55	0	0	0	0	13	0	136	0	19	0	2	1	0	13	0	128	98	0	32	0	0	0	3	1	1	0	0	0	49	0	2	0	16	0	0	0	0	
5	0	0	0	0	0	0	0	0	0	203	0	6	0	0	0	0	0	0	136	0	26	0	1	0	0	0	134	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	2	45	0	0	0	1	0	1	0	0	0	0	0	7	0	0	0	0	0	0	99	0	0	0	0	1	0	1	0	80	44	0	1	0	0	0	0	0	0	0	0	0	6	0	2	0	1	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	83	0	6	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	30	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	0	1	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
