Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	83	123	179	119	60	124	162	98	53	187	89	97	47	55	61	53	52	93	106	90	92	91	88	61	51	35	82	43	79	166	95	67	98	61	44	63	83	32	96	77	93	175	109	34	115	66	90	83	145	41	57	145	50	55	56	104	49	66	42	68	80	112	76	118	65	79	52	37	114	50	29	78	128	170	56	50	39	82	85	46	53	83	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	30	76	148	60	1	122	131	40	5	217	33	44	3	2	6	5	8	13	28	21	16	36	27	6	7	7	19	4	12	160	29	9	19	14	6	4	13	4	10	17	15	184	71	5	66	11	15	12	130	0	22	111	10	14	10	75	9	12	8	1	50	68	21	73	0	25	11	4	44	7	3	30	78	140	8	0	3	29	21	5	4	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	2	68	112	27	2	116	147	18	1	164	7	4	3	2	2	3	4	7	0	2	1	6	3	6	2	2	3	3	2	143	4	6	4	3	5	3	3	3	2	6	4	187	24	5	60	2	1	3	132	1	4	97	1	15	2	43	0	2	1	1	8	26	16	74	2	2	6	3	8	2	3	8	59	137	3	2	2	17	5	0	2	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	2	68	97	6	3	97	129	2	1	191	7	2	3	1	2	3	1	7	0	3	1	1	2	6	1	1	3	3	0	150	3	6	4	2	2	3	3	2	2	5	2	171	26	5	66	2	1	3	155	1	4	105	0	15	2	0	0	2	1	1	9	15	16	49	2	2	4	1	9	5	2	1	41	142	0	2	1	11	5	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1	73	127	5	1	91	142	2	1	149	5	3	3	1	1	3	2	7	1	3	1	1	3	5	2	1	3	3	2	154	3	6	3	2	2	3	2	2	3	5	2	170	27	5	68	1	1	3	143	1	4	101	0	15	2	2	3	3	1	1	9	16	15	51	2	2	5	1	9	6	4	1	42	171	0	2	0	15	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1	88	139	3	1	100	155	2	1	149	5	3	3	1	1	3	2	7	1	3	1	1	3	6	2	2	3	3	3	135	4	6	4	2	2	3	2	2	3	5	2	143	32	5	59	0	1	3	128	1	4	106	1	15	2	3	3	3	1	1	9	16	14	60	2	2	4	1	9	7	2	1	35	150	1	2	1	16	9	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1	91	131	3	1	113	175	2	1	143	5	3	3	1	1	3	1	7	2	3	1	1	3	6	1	3	3	3	3	135	3	6	3	2	2	3	2	2	3	5	2	142	29	5	60	0	1	3	131	1	4	93	1	15	2	3	3	3	1	1	9	18	14	57	2	1	5	1	8	6	3	1	62	150	0	2	1	16	9	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1	101	117	2	1	106	168	2	1	127	6	3	3	1	1	3	1	7	3	3	1	1	3	6	1	3	3	3	3	142	3	6	3	2	4	3	2	2	3	5	2	145	28	4	57	1	1	3	139	1	4	100	1	15	2	3	0	3	1	1	10	16	14	60	2	1	4	1	7	4	2	1	55	164	0	2	1	16	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	1	103	108	2	1	89	149	2	1	109	6	3	3	1	1	3	1	7	3	3	1	1	3	6	1	3	3	3	3	154	3	6	3	2	4	3	2	2	3	5	2	148	31	4	61	1	1	3	124	1	4	100	1	15	2	3	0	2	1	1	11	17	14	62	2	1	4	1	8	3	2	1	63	163	0	2	1	15	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1	102	140	2	1	106	150	2	1	123	5	3	3	1	1	3	1	7	3	3	1	1	3	6	1	3	3	3	3	121	3	6	3	2	4	3	2	2	3	5	2	149	31	5	68	1	1	3	136	1	4	80	1	15	2	3	3	2	1	1	11	16	14	79	2	1	4	1	8	5	2	1	53	132	1	2	1	17	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1	96	124	2	1	84	151	2	1	124	5	3	3	1	1	3	1	7	3	3	1	1	3	6	1	3	3	3	3	125	3	6	3	2	2	3	2	2	3	5	2	167	29	5	54	1	1	3	150	1	4	107	1	15	2	3	4	2	1	1	11	19	14	79	2	1	4	1	9	5	2	1	64	145	1	2	1	14	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	1	103	113	2	1	96	157	2	1	108	5	3	3	1	1	3	1	7	3	3	1	1	3	6	1	3	3	3	3	118	3	6	3	2	2	3	2	2	3	5	2	168	28	5	51	1	1	3	155	1	4	91	1	15	2	3	3	2	1	1	11	17	14	96	2	1	4	1	9	5	2	1	48	110	1	2	1	15	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	1	124	100	2	1	87	157	2	1	124	5	3	3	1	1	3	1	7	3	3	1	1	3	6	1	3	3	3	3	110	3	6	3	2	2	3	2	2	3	5	2	164	29	5	59	1	1	3	128	1	4	113	1	15	2	3	1	2	1	1	11	14	14	78	2	1	4	1	9	6	2	1	52	132	1	2	1	16	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	1	109	75	2	1	78	128	2	1	113	5	3	3	1	1	3	1	7	3	3	1	1	3	6	1	3	3	3	3	105	3	6	3	2	3	3	2	2	3	5	2	138	29	5	64	1	1	3	125	1	4	109	1	15	2	3	1	2	1	1	11	14	14	71	2	1	4	1	9	5	2	1	57	145	1	2	1	15	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	1	90	105	2	1	88	106	2	1	123	5	3	3	1	1	3	1	7	3	3	1	1	3	6	1	3	3	3	3	112	3	6	3	2	3	3	2	2	3	5	2	123	28	4	72	1	1	3	111	1	4	92	1	15	2	3	3	2	1	1	11	13	14	78	2	1	4	1	9	5	2	1	64	134	2	2	1	16	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
