Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
17	0	193	282	0	0	230	264	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	2	0	0	2	0	1	0	0	0	0	275	4	2	215	0	0	0	220	0	0	184	0	4	0	0	7	0	0	0	0	14	0	261	0	0	0	0	0	0	0	0	172	251	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	207	282	0	0	199	239	0	0	312	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	2	0	0	3	0	0	0	0	0	0	297	4	0	232	0	0	0	248	0	0	191	0	0	0	0	2	0	0	0	0	11	0	260	0	0	0	0	2	0	0	0	155	269	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	0	255	319	0	0	227	231	0	0	257	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	1	0	0	5	0	0	0	0	0	0	325	2	2	176	0	0	0	276	0	0	207	0	0	0	0	6	0	0	0	0	13	0	248	0	0	0	0	1	0	0	0	159	247	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	0	240	316	0	0	218	161	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	1	0	0	5	0	0	0	0	0	0	301	3	0	133	0	0	0	231	0	0	186	0	3	0	0	4	0	0	0	0	13	0	209	0	0	0	0	2	0	0	0	149	264	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	0	216	264	0	0	245	192	0	0	246	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	258	2	3	122	0	0	0	201	0	0	216	0	3	0	0	2	0	0	0	0	14	0	209	0	0	0	0	0	0	0	0	184	274	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	0	218	251	0	0	240	202	0	0	284	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	1	0	0	5	0	0	0	0	0	0	312	1	4	142	0	0	0	240	0	0	211	0	2	0	0	6	0	0	0	0	14	0	192	0	0	0	0	0	0	0	0	181	248	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	0	241	303	0	0	251	190	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	1	0	0	2	0	0	0	0	0	0	275	1	1	153	0	0	0	283	0	0	183	0	2	0	0	8	0	0	0	0	17	0	211	0	0	0	0	0	0	0	0	188	258	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	0	197	305	0	0	287	214	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	2	0	0	0	0	0	0	281	1	2	159	0	0	0	263	0	0	196	0	0	0	0	6	0	0	0	0	12	0	230	0	0	0	0	0	0	0	0	150	264	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	0	256	302	0	0	247	170	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	3	0	0	0	0	0	0	307	1	0	167	0	0	0	245	0	0	202	0	1	0	0	3	0	0	0	0	13	0	258	0	0	0	0	0	0	0	0	182	252	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	0	298	274	0	0	247	189	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	2	0	0	0	0	0	0	292	0	2	158	0	0	0	255	0	0	204	0	1	0	0	8	0	0	0	0	11	0	256	0	0	0	0	1	0	0	0	164	253	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	0	266	286	0	0	266	202	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	2	0	0	0	0	0	0	276	0	0	143	0	0	0	241	0	0	196	0	1	0	0	9	0	0	0	0	10	0	239	0	0	0	0	1	0	0	0	147	260	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	0	204	275	0	0	250	183	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	6	0	0	0	0	0	0	291	0	3	151	0	0	0	254	0	0	176	0	1	0	0	7	0	0	0	0	12	0	181	0	0	0	0	0	0	0	0	171	282	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	0	172	283	0	0	233	267	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	3	0	0	0	0	0	0	315	0	3	176	0	0	0	237	0	0	206	0	0	0	0	3	0	0	0	0	16	0	150	0	0	0	0	0	0	0	0	169	285	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30	0	176	278	0	0	255	280	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	3	0	0	0	0	0	0	259	0	0	149	0	0	0	234	0	0	220	0	0	0	0	9	0	0	0	0	9	0	132	0	0	0	0	0	0	0	0	192	294	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
