Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	406	431	421	438	320	459	493	370	348	497	398	364	291	378	329	321	317	358	385	335	368	352	402	376	280	340	415	309	389	458	410	376	351	310	313	361	406	285	396	319	391	427	462	328	414	369	395	371	449	349	309	433	287	288	343	364	283	334	309	329	408	402	303	374	322	364	324	297	367	386	329	339	396	377	303	361	327	393	383	296	346	388	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	236	371	436	363	65	445	433	248	53	496	238	271	69	117	96	96	107	152	234	203	178	232	209	70	109	77	222	65	172	485	261	178	251	116	85	116	167	56	174	177	191	417	346	46	269	143	159	163	394	55	188	399	92	89	125	350	102	140	78	72	259	316	127	371	123	190	92	50	240	144	31	176	364	417	117	65	52	191	267	99	117	183	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	51	349	381	252	10	395	447	115	29	456	129	185	6	18	10	16	21	18	64	51	15	92	53	9	27	21	68	6	37	403	39	45	122	18	31	16	14	20	8	33	47	392	250	11	252	25	11	32	457	7	30	332	11	21	20	207	35	23	20	4	124	234	27	369	4	49	36	15	90	38	7	61	240	439	33	23	11	83	91	7	16	42	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	19	329	385	92	8	327	393	34	10	469	25	25	5	13	5	3	14	4	6	9	3	25	26	9	19	21	27	3	22	426	7	16	26	14	17	5	6	19	2	5	11	419	122	12	318	7	5	12	406	3	1	311	9	10	7	76	22	9	4	1	16	87	33	285	1	11	12	15	12	21	4	16	155	483	26	14	10	56	22	6	7	4	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	15	326	344	25	11	296	400	8	10	394	16	7	3	12	5	3	8	8	6	4	3	5	5	15	20	24	7	3	13	438	8	23	9	16	26	5	13	20	2	9	8	422	92	12	277	10	6	4	412	3	0	324	10	13	7	19	13	12	3	1	18	43	49	293	1	9	6	15	19	18	5	4	187	495	16	15	11	51	6	6	7	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	10	293	356	21	11	348	449	9	10	405	17	4	3	12	5	3	8	9	6	4	3	5	5	20	20	22	19	3	11	430	8	25	9	17	30	4	25	26	2	15	10	418	107	10	250	11	6	3	406	3	0	382	9	30	7	9	9	10	3	1	24	38	70	342	0	9	6	15	24	18	6	4	284	404	18	12	11	30	2	6	6	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	9	306	361	18	12	316	474	9	10	406	15	3	3	11	6	3	11	13	6	4	3	7	5	18	19	22	21	3	11	427	8	28	9	17	33	3	34	23	2	18	10	438	86	6	239	12	6	3	479	3	0	391	9	38	7	6	7	11	3	1	18	54	68	308	0	9	6	15	24	15	5	4	293	406	20	12	11	34	0	6	6	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	8	400	339	15	12	299	437	9	10	477	23	3	3	11	6	3	8	13	3	4	3	7	5	23	18	24	15	3	10	391	8	36	8	17	48	3	20	23	2	14	10	419	50	11	282	14	6	3	463	3	0	337	9	41	7	5	18	11	3	1	17	30	56	313	0	9	6	15	19	18	5	4	317	518	19	12	11	38	0	6	6	27	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	8	406	380	15	12	350	440	9	10	472	22	3	3	11	6	3	8	14	3	4	3	7	5	23	19	24	22	3	10	453	7	29	7	18	40	3	12	23	1	13	10	448	33	14	273	14	6	3	414	3	0	297	9	35	7	4	14	11	3	1	16	44	52	322	0	9	5	15	23	21	5	4	265	472	19	12	11	51	0	6	6	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	8	359	421	15	12	347	431	9	10	441	24	3	3	11	6	3	8	15	3	4	3	7	5	25	18	24	21	3	10	397	7	34	7	18	38	3	17	23	1	16	10	451	26	5	273	14	6	3	414	3	0	339	9	27	7	4	18	11	3	1	16	39	54	350	0	8	5	15	25	18	5	4	240	418	19	12	11	76	0	6	6	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
