SNR   BER   FER
0.00 9.87e-02 6.76e-01
0.10 6.92e-02 5.32e-01
0.20 4.29e-02 3.32e-01
0.30 2.06e-02 1.83e-01
0.40 8.26e-03 7.49e-02
0.50 2.65e-03 2.62e-02
0.60 6.39e-04 6.48e-03
0.70 1.30e-04 1.52e-03
0.80 1.73e-05 2.28e-04
0.90 2.93e-06 5.37e-05
1.00 2.37e-07 1.39e-05
1.10 4.11e-08 7.88e-06
1.20 1.97e-08 5.31e-06
1.30 1.34e-08 3.70e-06
1.40 6.64e-09 2.47e-06
1.50 4.80e-09 1.72e-06
