SNR   BER   FER
0.00 8.03e-02 6.37e-01
0.10 4.74e-02 4.12e-01
0.20 2.80e-02 2.57e-01
0.30 1.19e-02 1.12e-01
0.40 5.27e-03 5.33e-02
0.50 1.58e-03 1.66e-02
0.60 3.49e-04 3.88e-03
0.70 6.33e-05 8.19e-04
0.80 9.78e-06 1.60e-04
0.90 1.15e-06 3.56e-05
1.00 1.07e-07 1.42e-05
1.10 3.31e-08 8.48e-06
1.20 1.76e-08 5.85e-06
1.30 1.23e-08 4.08e-06
1.40 7.60e-09 2.59e-06
1.50 5.41e-09 1.80e-06
