%   0.60 |     8049 |    25740 |      100 | 1.79e-03 | 1.24e-02 ||     0.37 |     0.12 | 14504.51 ||     0.34 | 00h02'05  
%Number of frames OK and finally false: 0
X	EB	CB	AB	CF
NN	12.2398	9.61875	9.99129	0.694182
II	12.2306	9.50571	9.89301	0.523537
NI	15.7108	12.8197	13.2306	0.742371
IN	16.1912	13.2492	13.6673	0.961799
%D	11.2068	4.19099	5.1882	0.220432

