%32 states 5000fe 8 its
SNR		SF_B		SF 			SC_B 		SC
0.00	2.22e-01	9.86e-01 	1.93e-01 	9.81e-01
0.10	2.05e-01	9.60e-01 	1.69e-01 	9.48e-01
0.20	1.78e-01	8.90e-01 	1.39e-01 	8.75e-01
0.30	1.42e-01	7.71e-01 	1.02e-01 	7.37e-01
0.40	1.00e-01	5.96e-01 	6.59e-02 	5.51e-01
0.50	6.26e-02	4.01e-01 	3.61e-02 	3.47e-01
0.60	3.29e-02	2.29e-01 	1.69e-02 	1.87e-01
0.70	1.33e-02	1.01e-01 	6.15e-03 	7.91e-02
0.80	4.47e-03	3.68e-02 	1.85e-03 	2.72e-02
0.90	1.19e-03	1.05e-02	4.32e-04	7.27e-03
1.00	2.32e-04	2.28e-03	7.83e-05	1.49e-03
1.10	3.73e-05	3.97e-04	1.09e-05	2.42e-04
1.20	4.33e-06	5.98e-05	1.17e-06	3.93e-05
1.30	4.15e-07	1.55e-05	1.17e-07	1.42e-05
1.40	4.00e-08	9.28e-06	2.48e-08	9.48e-06
1.50	1.64e-08	7.56e-06	1.52e-08	7.67e-06






