%16 states 5000fe 8 its
SNR   SF_B     SF       SC_B     SC
0.00  1.69e-01 9.57e-01 1.44e-01 9.54e-01
0.10  1.41e-01 8.87e-01 1.15e-01 8.80e-01
0.20  1.07e-01 7.55e-01 8.34e-02 7.49e-01
0.30  7.23e-02 5.76e-01 5.38e-02 5.80e-01
0.40  4.22e-02 3.78e-01 2.90e-02 3.74e-01
0.50  1.98e-02 2.03e-01 1.27e-02 1.98e-01
0.60  7.63e-03 8.95e-02 4.67e-03 8.63e-02
0.70  2.30e-03 3.04e-02 1.42e-03 3.10e-02
0.80  5.51e-04 8.41e-03 3.18e-04 8.22e-03
0.90  1.00e-04 1.77e-03 5.78e-05 1.84e-03
1.00  1.45e-05 3.53e-04 7.92e-06 3.64e-04
1.10  1.69e-06 1.04e-04 1.09e-06 1.12e-04
1.20  2.62e-07 6.57e-05 1.89e-07 6.61e-05
1.30  1.01e-07 4.98e-05 1.01e-07 5.10e-05
1.40  7.62e-08 4.01e-05 7.80e-08 4.14e-05
1.50  6.27e-08 3.31e-05 6.38e-08 3.40e-05

















