%   0.75 |    86642 |    24623 |      100 | 1.59e-04 | 1.15e-03 ||     0.29 |     0.10 | 18624.17 ||     0.27 | 00h28'49  
X	EB	CB	AB	CF
NN	12.3574	9.74109	10.1079	0.625286
II	12.3031	9.73624	10.0961	0.457365
NI	15.7264	12.9992	13.3815	0.645258
IN	16.1705	13.4238	13.8089	0.864002
%D	11.2869	4.34803	5.32087	0.190157

