81
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 102.76 Mb/s', 'avg_lat 16.77 us', 'max_lat 772.75 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 4.01 Mb/s', 'avg_lat 430.09 us', 'max_lat 791.27 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 348.52 Mb/s', 'avg_lat 4.94 us', 'max_lat 404.34 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 307.29 Mb/s', 'avg_lat 5.61 us', 'max_lat 480.43 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 4.86 Mb/s', 'avg_lat 354.25 us', 'max_lat 648.72 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 46.53 Mb/s', 'avg_lat 37.03 us', 'max_lat 1005.71 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 17.09 Mb/s', 'avg_lat 100.81 us', 'max_lat 664.51 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 4.68 Mb/s', 'avg_lat 368.33 us', 'max_lat 665.57 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 249.83 Mb/s', 'avg_lat 6.90 us', 'max_lat 480.27 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 106.64 Mb/s', 'avg_lat 16.16 us', 'max_lat 718.84 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 4.38 Mb/s', 'avg_lat 393.28 us', 'max_lat 617.61 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 341.48 Mb/s', 'avg_lat 5.05 us', 'max_lat 393.43 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 304.34 Mb/s', 'avg_lat 5.66 us', 'max_lat 749.14 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 4.43 Mb/s', 'avg_lat 389.01 us', 'max_lat 739.23 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 44.05 Mb/s', 'avg_lat 39.11 us', 'max_lat 915.19 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 15.76 Mb/s', 'avg_lat 109.35 us', 'max_lat 801.80 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 4.33 Mb/s', 'avg_lat 398.23 us', 'max_lat 764.85 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 195.29 Mb/s', 'avg_lat 8.82 us', 'max_lat 403.24 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 90.85 Mb/s', 'avg_lat 18.97 us', 'max_lat 729.71 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 4.09 Mb/s', 'avg_lat 421.47 us', 'max_lat 712.92 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 233.98 Mb/s', 'avg_lat 7.36 us', 'max_lat 199.96 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 215.58 Mb/s', 'avg_lat 7.99 us', 'max_lat 507.20 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 2.26 Mb/s', 'avg_lat 762.33 us', 'max_lat 1490.72 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 41.83 Mb/s', 'avg_lat 41.19 us', 'max_lat 1697.83 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 8.54 Mb/s', 'avg_lat 201.68 us', 'max_lat 1186.14 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 2.12 Mb/s', 'avg_lat 811.15 us', 'max_lat 1544.62 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 261.41 Mb/s', 'avg_lat 6.59 us', 'max_lat 790.99 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 59.68 Mb/s', 'avg_lat 28.87 us', 'max_lat 1289.72 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 2.01 Mb/s', 'avg_lat 855.76 us', 'max_lat 1232.78 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 347.94 Mb/s', 'avg_lat 4.95 us', 'max_lat 406.10 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 265.24 Mb/s', 'avg_lat 6.50 us', 'max_lat 1402.23 us']
