81
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 19.03 Mb/s', 'avg_lat 90.54 us', 'max_lat 2144.82 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.84 Mb/s', 'avg_lat 2039.89 us', 'max_lat 2601.07 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 48.87 Mb/s', 'avg_lat 35.26 us', 'max_lat 902.09 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 44.40 Mb/s', 'avg_lat 38.81 us', 'max_lat 2228.15 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.92 Mb/s', 'avg_lat 1877.49 us', 'max_lat 2434.40 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 8.80 Mb/s', 'avg_lat 195.70 us', 'max_lat 4405.78 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.30 Mb/s', 'avg_lat 521.54 us', 'max_lat 2710.45 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.88 Mb/s', 'avg_lat 1962.70 us', 'max_lat 2466.18 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 31.79 Mb/s', 'avg_lat 54.20 us', 'max_lat 1906.27 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 16.85 Mb/s', 'avg_lat 102.26 us', 'max_lat 2525.55 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.85 Mb/s', 'avg_lat 2037.65 us', 'max_lat 2575.55 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 37.18 Mb/s', 'avg_lat 46.34 us', 'max_lat 913.55 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 34.50 Mb/s', 'avg_lat 49.95 us', 'max_lat 2272.42 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.78 Mb/s', 'avg_lat 2215.78 us', 'max_lat 2944.83 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 8.25 Mb/s', 'avg_lat 208.76 us', 'max_lat 4645.37 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 2.83 Mb/s', 'avg_lat 608.46 us', 'max_lat 3080.25 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.75 Mb/s', 'avg_lat 2292.14 us', 'max_lat 2830.24 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 27.18 Mb/s', 'avg_lat 63.40 us', 'max_lat 2053.15 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 14.33 Mb/s', 'avg_lat 120.26 us', 'max_lat 2617.22 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.72 Mb/s', 'avg_lat 2393.48 us', 'max_lat 2953.68 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 30.71 Mb/s', 'avg_lat 56.11 us', 'max_lat 977.62 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 28.74 Mb/s', 'avg_lat 59.94 us', 'max_lat 2679.20 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.47 Mb/s', 'avg_lat 3698.12 us', 'max_lat 4208.38 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 8.83 Mb/s', 'avg_lat 195.23 us', 'max_lat 8052.70 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.78 Mb/s', 'avg_lat 966.71 us', 'max_lat 4371.93 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.44 Mb/s', 'avg_lat 3911.65 us', 'max_lat 4420.37 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 39.52 Mb/s', 'avg_lat 43.60 us', 'max_lat 2270.34 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 11.31 Mb/s', 'avg_lat 152.32 us', 'max_lat 4224.53 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.42 Mb/s', 'avg_lat 4114.09 us', 'max_lat 4688.08 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 48.73 Mb/s', 'avg_lat 35.36 us', 'max_lat 899.49 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 40.19 Mb/s', 'avg_lat 42.87 us', 'max_lat 4403.18 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.44 Mb/s', 'avg_lat 3956.83 us', 'max_lat 4607.35 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 8.17 Mb/s', 'avg_lat 210.92 us', 'max_lat 8560.52 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.66 Mb/s', 'avg_lat 1036.73 us', 'max_lat 4877.14 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.42 Mb/s', 'avg_lat 4135.46 us', 'max_lat 4724.02 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 31.71 Mb/s', 'avg_lat 54.33 us', 'max_lat 1908.88 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 10.23 Mb/s', 'avg_lat 168.45 us', 'max_lat 4754.22 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.40 Mb/s', 'avg_lat 4312.79 us', 'max_lat 4980.27 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 37.23 Mb/s', 'avg_lat 46.28 us', 'max_lat 905.22 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 31.75 Mb/s', 'avg_lat 54.28 us', 'max_lat 4611.51 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.37 Mb/s', 'avg_lat 4696.68 us', 'max_lat 5544.34 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 7.57 Mb/s', 'avg_lat 227.54 us', 'max_lat 10448.56 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.43 Mb/s', 'avg_lat 1205.00 us', 'max_lat 5406.84 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.35 Mb/s', 'avg_lat 4859.87 us', 'max_lat 5652.67 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 27.30 Mb/s', 'avg_lat 63.12 us', 'max_lat 2040.65 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 9.05 Mb/s', 'avg_lat 190.41 us', 'max_lat 5349.54 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.34 Mb/s', 'avg_lat 5087.64 us', 'max_lat 5790.70 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 30.87 Mb/s', 'avg_lat 55.82 us', 'max_lat 985.95 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 26.77 Mb/s', 'avg_lat 64.35 us', 'max_lat 5476.11 us']
