81
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 11.08 Mb/s', 'avg_lat 155.57 us', 'max_lat 3818.00 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.50 Mb/s', 'avg_lat 3454.07 us', 'max_lat 4817.08 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 28.71 Mb/s', 'avg_lat 60.01 us', 'max_lat 1506.92 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 25.90 Mb/s', 'avg_lat 66.52 us', 'max_lat 3889.79 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.51 Mb/s', 'avg_lat 3379.05 us', 'max_lat 4257.71 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 4.78 Mb/s', 'avg_lat 360.14 us', 'max_lat 7134.46 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.80 Mb/s', 'avg_lat 957.26 us', 'max_lat 4712.08 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.49 Mb/s', 'avg_lat 3490.44 us', 'max_lat 4976.83 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 18.08 Mb/s', 'avg_lat 95.31 us', 'max_lat 3420.67 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 9.38 Mb/s', 'avg_lat 183.64 us', 'max_lat 4329.21 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.46 Mb/s', 'avg_lat 3773.08 us', 'max_lat 4896.29 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 21.28 Mb/s', 'avg_lat 80.97 us', 'max_lat 1617.50 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 19.50 Mb/s', 'avg_lat 88.38 us', 'max_lat 4376.46 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.39 Mb/s', 'avg_lat 4364.37 us', 'max_lat 5935.92 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 3.82 Mb/s', 'avg_lat 450.53 us', 'max_lat 9589.75 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.43 Mb/s', 'avg_lat 1204.88 us', 'max_lat 6390.08 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.38 Mb/s', 'avg_lat 4510.51 us', 'max_lat 6509.25 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 11.79 Mb/s', 'avg_lat 146.19 us', 'max_lat 4197.67 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.75 Mb/s', 'avg_lat 255.12 us', 'max_lat 5755.71 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.37 Mb/s', 'avg_lat 4706.76 us', 'max_lat 6562.17 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 13.13 Mb/s', 'avg_lat 131.20 us', 'max_lat 2129.17 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 12.47 Mb/s', 'avg_lat 138.12 us', 'max_lat 6088.88 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.27 Mb/s', 'avg_lat 6327.59 us', 'max_lat 8021.08 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 4.90 Mb/s', 'avg_lat 351.70 us', 'max_lat 14141.04 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.03 Mb/s', 'avg_lat 1668.60 us', 'max_lat 7527.46 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.26 Mb/s', 'avg_lat 6707.51 us', 'max_lat 8353.75 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 22.70 Mb/s', 'avg_lat 75.89 us', 'max_lat 3139.08 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.47 Mb/s', 'avg_lat 266.22 us', 'max_lat 8190.08 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.25 Mb/s', 'avg_lat 6993.36 us', 'max_lat 8425.33 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 28.26 Mb/s', 'avg_lat 60.96 us', 'max_lat 1496.08 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 22.86 Mb/s', 'avg_lat 75.37 us', 'max_lat 7821.38 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.24 Mb/s', 'avg_lat 7328.93 us', 'max_lat 8802.92 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 4.32 Mb/s', 'avg_lat 399.10 us', 'max_lat 15848.46 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 0.89 Mb/s', 'avg_lat 1941.95 us', 'max_lat 9149.29 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.23 Mb/s', 'avg_lat 7596.78 us', 'max_lat 9587.42 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 18.10 Mb/s', 'avg_lat 95.18 us', 'max_lat 3429.38 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 5.57 Mb/s', 'avg_lat 309.11 us', 'max_lat 8718.04 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.23 Mb/s', 'avg_lat 7648.42 us', 'max_lat 9638.38 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 21.55 Mb/s', 'avg_lat 79.94 us', 'max_lat 1640.58 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 17.46 Mb/s', 'avg_lat 98.68 us', 'max_lat 9415.17 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.16 Mb/s', 'avg_lat 10483.60 us', 'max_lat 12751.33 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 3.52 Mb/s', 'avg_lat 489.49 us', 'max_lat 21486.75 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 0.62 Mb/s', 'avg_lat 2770.82 us', 'max_lat 12731.00 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.15 Mb/s', 'avg_lat 11454.44 us', 'max_lat 14053.08 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 11.81 Mb/s', 'avg_lat 145.91 us', 'max_lat 4105.96 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.97 Mb/s', 'avg_lat 433.96 us', 'max_lat 13428.67 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.15 Mb/s', 'avg_lat 11284.24 us', 'max_lat 13676.42 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 13.30 Mb/s', 'avg_lat 129.58 us', 'max_lat 2176.54 us']
['-N 2048 -K 1723', '-L 32', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 12.58 Mb/s', 'avg_lat 136.93 us', 'max_lat 13472.00 us']
