81
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 20.62 Mb/s', 'avg_lat 83.55 us', 'max_lat 2181.50 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.91 Mb/s', 'avg_lat 1887.72 us', 'max_lat 2473.71 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 58.42 Mb/s', 'avg_lat 29.50 us', 'max_lat 802.83 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 52.82 Mb/s', 'avg_lat 32.62 us', 'max_lat 2230.42 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.98 Mb/s', 'avg_lat 1758.91 us', 'max_lat 2378.58 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 9.47 Mb/s', 'avg_lat 181.97 us', 'max_lat 4030.25 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.52 Mb/s', 'avg_lat 489.72 us', 'max_lat 2360.71 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.95 Mb/s', 'avg_lat 1813.62 us', 'max_lat 2440.83 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 37.35 Mb/s', 'avg_lat 46.13 us', 'max_lat 2139.79 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 18.56 Mb/s', 'avg_lat 92.82 us', 'max_lat 2293.54 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.89 Mb/s', 'avg_lat 1944.99 us', 'max_lat 2614.50 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 45.55 Mb/s', 'avg_lat 37.83 us', 'max_lat 823.83 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 42.21 Mb/s', 'avg_lat 40.82 us', 'max_lat 2255.00 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.86 Mb/s', 'avg_lat 1994.55 us', 'max_lat 2605.25 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 8.66 Mb/s', 'avg_lat 198.86 us', 'max_lat 4297.88 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.25 Mb/s', 'avg_lat 530.00 us', 'max_lat 2653.92 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.84 Mb/s', 'avg_lat 2054.16 us', 'max_lat 2874.42 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 31.17 Mb/s', 'avg_lat 55.27 us', 'max_lat 1921.83 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 16.29 Mb/s', 'avg_lat 105.80 us', 'max_lat 2613.33 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.77 Mb/s', 'avg_lat 2244.86 us', 'max_lat 2964.08 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 36.43 Mb/s', 'avg_lat 47.30 us', 'max_lat 865.92 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 34.56 Mb/s', 'avg_lat 49.86 us', 'max_lat 2762.21 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.48 Mb/s', 'avg_lat 3584.24 us', 'max_lat 4159.38 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 9.29 Mb/s', 'avg_lat 185.45 us', 'max_lat 7942.50 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.86 Mb/s', 'avg_lat 927.16 us', 'max_lat 4121.79 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.46 Mb/s', 'avg_lat 3732.45 us', 'max_lat 4889.92 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 44.92 Mb/s', 'avg_lat 38.36 us', 'max_lat 1770.25 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 11.87 Mb/s', 'avg_lat 145.12 us', 'max_lat 4394.83 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.45 Mb/s', 'avg_lat 3841.84 us', 'max_lat 4452.92 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 58.41 Mb/s', 'avg_lat 29.50 us', 'max_lat 805.96 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 46.16 Mb/s', 'avg_lat 37.33 us', 'max_lat 4518.58 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.48 Mb/s', 'avg_lat 3609.77 us', 'max_lat 4429.58 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 8.76 Mb/s', 'avg_lat 196.76 us', 'max_lat 7924.33 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.80 Mb/s', 'avg_lat 955.98 us', 'max_lat 4358.46 us']
