['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 113.29 Mb/s', 'avg_lat 15.21 us', 'max_lat 421.90 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 4.48 Mb/s', 'avg_lat 384.44 us', 'max_lat 794.04 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 376.13 Mb/s', 'avg_lat 4.58 us', 'max_lat 428.10 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 330.68 Mb/s', 'avg_lat 5.21 us', 'max_lat 417.39 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 5.19 Mb/s', 'avg_lat 331.71 us', 'max_lat 910.58 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 47.77 Mb/s', 'avg_lat 36.07 us', 'max_lat 777.40 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 18.82 Mb/s', 'avg_lat 91.54 us', 'max_lat 650.13 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 4.98 Mb/s', 'avg_lat 346.24 us', 'max_lat 727.23 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 252.71 Mb/s', 'avg_lat 6.82 us', 'max_lat 393.09 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 113.08 Mb/s', 'avg_lat 15.24 us', 'max_lat 556.00 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 4.80 Mb/s', 'avg_lat 358.94 us', 'max_lat 766.88 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 348.63 Mb/s', 'avg_lat 4.94 us', 'max_lat 410.22 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 302.58 Mb/s', 'avg_lat 5.69 us', 'max_lat 442.93 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 4.49 Mb/s', 'avg_lat 383.38 us', 'max_lat 781.51 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 44.13 Mb/s', 'avg_lat 39.05 us', 'max_lat 1327.82 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 15.89 Mb/s', 'avg_lat 108.40 us', 'max_lat 947.28 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 4.32 Mb/s', 'avg_lat 399.27 us', 'max_lat 897.59 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 208.36 Mb/s', 'avg_lat 8.27 us', 'max_lat 412.84 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 95.91 Mb/s', 'avg_lat 17.96 us', 'max_lat 445.67 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 4.04 Mb/s', 'avg_lat 426.20 us', 'max_lat 897.97 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 263.77 Mb/s', 'avg_lat 6.53 us', 'max_lat 199.31 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 234.70 Mb/s', 'avg_lat 7.34 us', 'max_lat 630.44 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 2.51 Mb/s', 'avg_lat 687.45 us', 'max_lat 1356.97 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 43.62 Mb/s', 'avg_lat 39.50 us', 'max_lat 1703.55 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 9.46 Mb/s', 'avg_lat 182.22 us', 'max_lat 1516.26 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 2.41 Mb/s', 'avg_lat 716.22 us', 'max_lat 1467.85 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 276.60 Mb/s', 'avg_lat 6.23 us', 'max_lat 735.00 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 64.12 Mb/s', 'avg_lat 26.87 us', 'max_lat 863.84 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 2.27 Mb/s', 'avg_lat 759.54 us', 'max_lat 1480.10 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 378.62 Mb/s', 'avg_lat 4.55 us', 'max_lat 389.99 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 285.42 Mb/s', 'avg_lat 6.04 us', 'max_lat 884.09 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 2.64 Mb/s', 'avg_lat 652.00 us', 'max_lat 1352.11 us']
['-N 2048 -K 1723', '-L 32', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 43.53 Mb/s', 'avg_lat 39.59 us', 'max_lat 1567.98 us']
