81
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.22 Mb/s', 'avg_lat 277.16 us', 'max_lat 8077.70 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.25 Mb/s', 'avg_lat 6889.62 us', 'max_lat 8301.14 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 18.71 Mb/s', 'avg_lat 92.08 us', 'max_lat 2976.60 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 16.31 Mb/s', 'avg_lat 105.62 us', 'max_lat 7291.23 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.29 Mb/s', 'avg_lat 5885.76 us', 'max_lat 7405.82 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 2.86 Mb/s', 'avg_lat 602.73 us', 'max_lat 12497.55 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.10 Mb/s', 'avg_lat 1567.82 us', 'max_lat 7851.14 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.28 Mb/s', 'avg_lat 6172.68 us', 'max_lat 7667.80 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 11.29 Mb/s', 'avg_lat 152.56 us', 'max_lat 5791.22 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 5.84 Mb/s', 'avg_lat 295.06 us', 'max_lat 7919.89 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.27 Mb/s', 'avg_lat 6426.71 us', 'max_lat 7683.95 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 13.92 Mb/s', 'avg_lat 123.74 us', 'max_lat 2759.93 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 12.58 Mb/s', 'avg_lat 136.96 us', 'max_lat 6817.79 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.25 Mb/s', 'avg_lat 6974.32 us', 'max_lat 8890.73 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 2.44 Mb/s', 'avg_lat 704.72 us', 'max_lat 14358.51 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 0.91 Mb/s', 'avg_lat 1894.71 us', 'max_lat 8690.73 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.24 Mb/s', 'avg_lat 7291.43 us', 'max_lat 8999.59 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 8.00 Mb/s', 'avg_lat 215.47 us', 'max_lat 6589.15 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 4.75 Mb/s', 'avg_lat 362.83 us', 'max_lat 8727.71 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.23 Mb/s', 'avg_lat 7608.01 us', 'max_lat 9054.28 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 9.25 Mb/s', 'avg_lat 186.27 us', 'max_lat 3091.19 us']
['-N 2048 -K 1723', '-L 16', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 8.94 Mb/s', 'avg_lat 192.67 us', 'max_lat 7964.68 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.13 Mb/s', 'avg_lat 12897.73 us', 'max_lat 14860.60 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 2.71 Mb/s', 'avg_lat 635.53 us', 'max_lat 27387.33 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 0.53 Mb/s', 'avg_lat 3228.02 us', 'max_lat 14802.27 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.13 Mb/s', 'avg_lat 13675.90 us', 'max_lat 15185.61 us']
['-N 2048 -K 1723', '-L 32', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 13.65 Mb/s', 'avg_lat 126.26 us', 'max_lat 6194.87 us']
