Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	806	689	697	718	765	710	733	765	762	711	707	783	712	746	798	680	767	767	709	711	832	662	764	693	777	694	783	723	739	680	566	832	646	703	754	740	641	767	788	713	745	627	785	766	542	759	768	635	788	637	703	644	818	771	792	706	773	759	694	799	745	823	695	670	701	753	730	731	639	746	712	816	771	612	849	681	754	670	661	777	750	665	745	684	669	735	803	844	698	768	711	728	684	651	693	706	752	653	697	662	
1	689	577	497	318	682	540	601	554	697	422	387	520	526	693	558	467	407	624	574	375	647	255	730	220	502	465	566	547	592	399	266	696	433	436	671	524	278	502	394	547	385	216	479	659	124	476	566	255	552	149	347	225	549	568	616	592	634	628	394	557	463	570	455	547	443	370	335	446	511	646	345	529	400	325	652	528	629	486	232	661	661	505	619	433	569	500	723	745	415	362	288	487	393	154	383	595	467	297	547	521	
2	397	312	417	38	473	179	286	68	659	98	91	180	354	375	311	161	52	532	349	80	433	16	702	1	65	161	449	228	506	151	7	563	178	121	514	176	8	286	55	300	87	5	108	335	0	175	456	7	262	1	23	29	370	349	305	329	462	368	120	163	174	203	140	200	67	7	82	79	187	294	21	242	79	45	263	143	487	150	37	511	627	318	565	128	199	47	533	732	127	14	15	102	175	0	28	486	36	4	237	327	
3	72	10	77	0	78	2	31	2	590	1	1	7	56	61	49	11	0	212	75	1	198	0	648	0	0	2	213	9	265	0	0	556	15	6	139	11	0	56	0	150	3	0	2	42	0	20	338	1	4	0	0	0	53	20	43	49	278	10	0	1	8	4	0	7	1	0	0	0	5	17	0	26	4	0	34	1	244	12	0	277	342	15	410	2	30	0	362	581	3	0	0	0	42	0	1	206	0	1	28	112	
4	0	0	2	0	0	0	1	0	439	0	1	0	0	0	0	0	0	21	0	0	59	0	482	0	0	0	8	0	52	0	0	325	0	0	0	0	0	0	0	0	0	0	1	3	0	1	71	1	0	0	0	0	4	0	0	0	45	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	25	0	0	25	137	0	174	0	0	0	92	426	1	0	0	0	1	0	1	18	0	1	0	1	
5	0	0	0	0	0	0	1	0	172	0	1	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	30	0	0	0	0	206	1	0	0	0	0	0	1	0	0	1	0	1	
6	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	17	1	0	0	0	0	0	1	0	0	1	0	1	
7	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	
8	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	
9	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	
10	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	
11	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	
12	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	
