SNR   BER   FER
0.00 8.99e-02 5.57e-01
0.10 5.24e-02 3.27e-01
0.20 2.61e-02 1.70e-01
0.30 1.04e-02 6.90e-02
0.40 3.51e-03 2.43e-02
0.50 1.07e-03 7.48e-03
0.60 2.54e-04 1.81e-03
0.70 3.24e-05 2.39e-04
0.80 3.75e-06 3.14e-05
0.90 3.99e-07 4.93e-06
1.00 3.63e-08 1.56e-06
1.10 7.43e-09 8.97e-07
1.20 2.55e-09 6.02e-07
1.30 2.02e-09 3.85e-07
1.40 1.03e-09 1.85e-07
1.50 1.03e-09 1.47e-07
