SNR   BER   FER
0.00 7.22e-02 5.10e-01
0.10 3.97e-02 3.05e-01
0.20 1.96e-02 1.55e-01
0.30 7.63e-03 6.06e-02
0.40 2.53e-03 2.04e-02
0.50 8.67e-04 7.51e-03
0.60 1.64e-04 1.53e-03
0.70 2.26e-05 2.34e-04
0.80 2.30e-06 3.63e-05
0.90 3.04e-07 1.17e-05
1.00 1.64e-08 4.93e-06
1.10 1.10e-08 3.46e-06
1.20 4.76e-09 1.92e-06
1.30 4.23e-09 1.28e-06
1.40 1.95e-09 8.06e-07
1.50 1.40e-09 5.50e-07
