SNR   BER   FER
0.00 1.94e-01 9.53e-01
0.10 1.65e-01 8.57e-01
0.20 1.38e-01 7.56e-01
0.30 9.71e-02 5.57e-01
0.40 5.26e-02 3.16e-01
0.50 2.35e-02 1.45e-01
0.60 8.58e-03 5.47e-02
0.70 2.99e-03 1.94e-02
0.80 7.99e-04 5.32e-03
0.90 1.44e-04 9.73e-04
1.00 1.79e-05 1.20e-04
1.10 1.71e-06 1.28e-05
1.20 1.24e-07 1.56e-06
1.30 7.79e-09 3.85e-07
1.40 1.06e-09 1.73e-07
1.50 1.01e-09 1.48e-07
