%!TEX root = ../../my_thesis.tex
SNR	FER
0	0.00102462492664637
0.2	0.000578838246106623
0.4	0.000321127212536911
0.6	0.000175089251795203
0.8	9.39173638213358e-05
1.0	4.96209937119934e-05
1.2	2.58579605065081e-05
1.4	1.33073294654302e-05
1.6	6.77036562602364e-06
1.8	3.40738316847882e-06
2.0	1.69631675660117e-06
2.2	8.34715692917608e-07
2.4	4.05379414689832e-07
2.6	1.93884430571948e-07
2.8	9.10845131075816e-08
3.0	4.19092261798795e-08
