%!TEX root = ../../my_thesis.tex
SNR	FER
%0.0	8.8e-1
%0.2	7.4e-1
%0.4	2.5e-1
%0.6	4.7e-2
%0.8	3.9e-3
%1.0	1.4e-4
%1.2	9.9e-6
%1.4	3.1e-6
%1.6	1.6e-6
%1.8	7.2e-7
0.00	9.09e-01
0.10	8.07e-01
0.20	6.41e-01
0.30	4.65e-01
0.40	2.74e-01
0.50	1.24e-01
0.60	4.71e-02
0.70	1.56e-02
0.80	3.74e-03
0.90	7.88e-04
1.00	1.30e-04
1.10	2.76e-05
1.20	1.09e-05
1.30	6.08e-06
1.40	4.18e-06
1.50	2.72e-06
1.60	1.92e-06
1.70 	1.30e-06
1.80 	8.63e-07
1.90 	5.88e-07
2.00 	4.17e-07
