%!TEX root = ../../my_thesis.tex
SNR	FER		FER2
2.0	1		1
2.2 9.8e-1	9.8e-1
2.4 8.6e-1	7.5e-1
2.6	5.9e-1	4.7e-1
2.8	2.0e-1	1.8e-1
3.0	5.9e-2	4.7e-2
3.2	1.3e-2	8.0e-3
3.4	5.2e-3	1.7e-3
3.6	1.4e-3	4.9e-4
3.8	8.7e-4	1.5e-4
4.0	3.4e-4	6.2e-5
4.2	1.7e-4	2.1e-5
4.4	9.3e-5	6.5e-6
4.6	4.7e-5	3.0e-6
4.8	2.2e-5	9.4e-7
