%!TEX root = ../../my_thesis.tex
SNR	FER
%0.0	9.8e-1
%0.2	6.5e-1
%0.4	2.4e-1
%0.6	2.9e-2
%0.8	1.1e-3
%0.9	1.3e-4
%1.0	2.5e-5
%1.1	7.9e-6
%1.2	4.2e-6
%1.3	3.8e-6
%1.4	2.0e-6
%1.5	1.4e-6
%1.6	9e-7
0.0 9.54e-01
0.1 8.70e-01
0.2 6.68e-01
0.3 4.39e-01
0.4 2.48e-01
0.5 9.64e-02
0.6 3.00e-02
0.7 6.30e-03
0.8 1.05e-03
0.9 1.23e-04
1.0 2.23e-05
1.1 1.00e-05
1.2 6.08e-06
1.3 4.31e-06
1.4 3.16e-06
1.5 2.19e-06
1.6 1.44e-06
