%!TEX root = ../../my_thesis.tex
SNR	FER
0.0 2.44746549528758e-05
0.2 1.50402373085715e-05
0.4 9.11936958203091e-06
0.6 5.44948515799983e-06
0.8 3.20536799809204e-06
1.0 1.85325987520857e-06
1.2 1.05171506335197e-06
1.4 5.84928221395934e-07









