SNR   SF       SC       SF5000_B SF5000 SC5000_B SC5000
0.00  8.40e-01 7.25e-01 1.57e-01 8.35e-01 1.17e-01 6.90e-01
0.10  6.98e-01 4.93e-01 1.23e-01 6.96e-01 8.07e-02 5.06e-01
0.20  5.00e-01 3.18e-01 8.43e-02 4.98e-01 4.71e-02 3.14e-01
0.30  2.82e-01 1.56e-01 4.98e-02 3.09e-01 2.36e-02 1.63e-01
0.40  1.59e-01 7.60e-02 2.41e-02 1.56e-01 9.36e-03 6.75e-02
0.50  5.78e-02 2.31e-02 9.48e-03 6.29e-02 3.01e-03 2.28e-02
0.60  2.00e-02 6.72e-03 2.81e-03 1.96e-02 7.60e-04 6.06e-03
0.70  6.14e-03 1.20e-03 6.89e-04 5.00e-03 1.53e-04 1.37e-03
0.80  9.62e-04 4.05e-04 1.26e-04 1.04e-03 2.34e-05 3.19e-04
0.90  2.61e-04 1.36e-04 1.75e-05 2.38e-04 2.83e-06 1.32e-04
1.00  9.56e-05 9.19e-05 2.00e-06 9.86e-05 3.68e-07 8.82e-05
1.10  6.44e-05 8.16e-05 2.65e-07 7.30e-05 1.46e-07 7.00e-05
1.20  5.45e-05 6.88e-05 1.24e-07 5.95e-05 1.14e-07 5.96e-05
1.30  4.36e-05 4.27e-05 8.97e-08 4.73e-05 9.05e-08 4.83e-05
1.40  3.80e-05 4.17e-05 7.44e-08 3.91e-05 7.59e-08 4.05e-05
1.50  3.34e-05 3.12e-05 6.09e-08 3.22e-05 5.81e-08 3.22e-05
1.60  3.17e-05 2.85e-05 4.9e-08 2.6e-05
1.70  2.01e-05 1.99e-05
1.80  1.76e-05 1.94e-05
1.90  1.54e-05 1.27e-05
























   
   
   
   
   
   
   
   
   
   
   
   
   
   







