SNR   SF       SC        SF5000_B SF5000  SC5000   SC5000_B
0.00  7.33e-01 5.84e-01 2.18e-01 9.58e-01 8.22e-01 1.70e-01
0.10  5.29e-01 4.08e-01 1.95e-01 8.86e-01 6.74e-01 1.33e-01
0.20  3.43e-01 2.45e-01 1.61e-01 7.61e-01 4.78e-01 9.03e-02
0.30  2.23e-01 1.07e-01 1.19e-01 5.86e-01 2.98e-01 5.41e-02
0.40  9.66e-02 4.96e-02 7.72e-02 3.92e-01 1.50e-01 2.63e-02
0.50  3.59e-02 1.25e-02 4.13e-02 2.15e-01 6.13e-02 1.05e-02
0.60  1.12e-02 3.83e-03 1.79e-02 9.57e-02 2.01e-02 3.36e-03
0.70  2.74e-03 1.49e-03 6.06e-03 3.31e-02 5.02e-03 8.13e-04
0.80  8.86e-04 5.66e-04 1.69e-03 9.41e-03 9.91e-04 1.55e-04
0.90  5.29e-04 4.28e-04 3.33e-04 1.92e-03 1.71e-04 2.33e-05
1.00  3.58e-04 2.86e-04 5.25e-05 3.20e-04 3.53e-05 2.62e-06
1.10  2.18e-04 2.38e-04 6.25e-06 5.25e-05 1.68e-05 2.44e-07
1.20  1.56e-04 1.73e-04 5.47e-07 1.67e-05 1.35e-05 4.08e-08
1.30  1.22e-04 1.55e-04 5.03e-08 1.10e-05 1.11e-05 2.23e-08
1.40  9.35e-05 1.05e-04	1.95e-08 9.14e-06 9.01e-06 1.78e-08
1.50  8.63e-05 7.24e-05 1.47e-08 7.36e-06 7.66e-06 1.50e-08	
1.60  6.49e-05 7.09e-05
1.70  5.10e-05 5.31e-05
1.80  4.23e-05 4.42e-05
1.90  2.86e-05 3.06e-05


   
   
   

   
   
   
   
   
   
   
