%!TEX root = ../../my_thesis.tex
SNR	BER
-1	1.3e-1
-0.5 1e-1		
0.00  9.00e-02 
0.50  6.47e-02 
1.00  4.58e-02 
1.50  3.06e-02 
2.00  2.00e-02 
2.50  1.08e-02 
3.00  6.17e-03 
3.50  2.39e-03 
4.00  1.03e-03 
4.50  3.86e-04 
5.00  1.81e-04 
5.50  7.33e-05 
6.00  1.82e-05 
6.50  4.95e-06 
7.00  9.22e-07 
7.50  1.75e-07 
8.00  4.13e-08 
