%!TEX root = ../../my_thesis.tex
R shannon soft
0.00	-1.592	-1.592
0.05	-1.440	-1.440
0.10	-1.284	-1.285
0.15	-1.133	-1.126
0.20	-0.976	-0.963
0.25	-0.817	-0.793
0.30	-0.657	-0.616
0.33	-0.550	-0.497
0.35	-0.495	-0.432
0.40	-0.333	-0.236
0.45	-0.166	-0.030
0.50	0		0.187
0.55	0.169	0.423
0.60	0.339	0.682
0.65	0.511	0.960
0.66	0.569	1.059
0.70	0.686	1.275
0.75	0.860	1.626
0.80	1.037	2.039
0.85	1.215	2.545
0.90	1.396	3.199
0.95	1.577	4.190

