SNR	BER	FER
0.00 1.64e-01 8.90e-01
0.10 1.30e-01 7.34e-01
0.20 8.99e-02 5.36e-01
0.30 4.50e-02 2.88e-01
0.40 2.21e-02 1.49e-01
0.50 7.62e-03 5.02e-02
0.60 2.01e-03 1.40e-02
0.70 4.38e-04 3.26e-03
0.80 5.44e-05 4.10e-04
0.90 5.19e-06 4.05e-05
1.00 3.67e-07 4.09e-06
1.10 2.31e-08 7.63e-07

