SNR	BER	FER
0.00 1.31e-01 7.65e-01
0.10 7.89e-02 5.34e-01
0.20 4.23e-02 2.74e-01
0.30 1.98e-02 1.37e-01
0.40 6.69e-03 4.89e-02
0.50 2.10e-03 1.56e-02
0.60 5.23e-04 4.04e-03
0.70 6.41e-05 5.42e-04
0.80 5.72e-06 5.25e-05
0.90 4.64e-07 5.42e-06
1.00 3.00e-08 1.25e-06
1.10 7.44e-09 6.68e-07
1.20 2.33e-09 4.27e-07
%1.30 1.91e-09 3.95e-07
%1.40 1.52e-09 3.81e-07
%1.50 1.82e-09 4.69e-07
