%   0.85 |   726034 |    23410 |      100 | 1.81e-05 | 1.38e-04 ||     0.27 |     0.09 | 19977.38 ||     0.25 | 04h18'35  
X	EB	CB	AB	CF
NN	12.3963	9.2836	9.70141	0.523302
II	12.2173	9.26197	9.65866	0.357853
NI	15.7676	12.4173	12.867	0.496827
IN	16.2361	12.8391	13.2951	0.712259
D	11.2448	4.10749	5.06552	0.145891
