SNR	BER	FER
0.00 9.01e-02 5.96e-01
0.10 5.48e-02 3.89e-01
0.20 2.81e-02 2.07e-01
0.30 1.25e-02 9.45e-02
0.40 4.52e-03 3.46e-02
0.50 1.52e-03 1.21e-02
0.60 3.41e-04 2.82e-03
0.70 5.26e-05 4.39e-04
0.80 6.44e-06 5.37e-05
0.90 6.43e-07 5.92e-06
1.00 5.17e-08 7.35e-07
1.10 5.11e-09 1.74e-07
1.20 2.06e-09 1.13e-07
1.30 1.17e-09 7.90e-08
1.40 9.15e-10 7.36e-08
