SNR   BER FER
0.00 9.94e-02 6.78e-01
0.10 6.60e-02 4.81e-01
0.20 3.51e-02 2.77e-01
0.30 1.69e-02 1.34e-01
0.40 5.76e-03 4.76e-02
0.50 2.23e-03 1.92e-02
0.60 6.32e-04 5.72e-03
0.70 1.08e-04 1.11e-03
0.80 1.36e-05 1.47e-04
0.90 1.48e-06 2.07e-05
1.00 1.32e-07 4.82e-06
1.10 2.30e-08 2.22e-06
1.20 9.26e-09 1.26e-06
1.30 5.42e-09 7.90e-07
1.40 3.12e-09 5.11e-07
1.50 1.83e-09 2.96e-07
