SNR   BER   FER
0.00 9.42e-02 6.30e-01
0.10 5.59e-02 4.06e-01
0.20 3.22e-02 2.41e-01
0.30 1.35e-02 9.86e-02
0.40 4.86e-03 3.71e-02
0.50 1.68e-03 1.36e-02
0.60 3.47e-04 2.96e-03
0.70 6.48e-05 5.69e-04
0.80 7.24e-06 6.28e-05
0.90 8.44e-07 8.24e-06
1.00 7.13e-08 1.19e-06
1.10 6.55e-09 3.62e-07
1.20 2.33e-09 1.98e-07
1.30 1.50e-09 1.24e-07
1.40 9.74e-10 9.40e-08
1.50 5.3e-10 5.9e-08
