%    1.20 |  6519828 |     1553 |      100 | 2.33e-07 | 1.53e-05 ||     2.62 |     0.87 |  1172.22 ||     1.71 | 03h14'50  
X	EB	CB	AB	CF
NN	8.86922	1.10764	1.22239	0.330322
II	8.62682	0.960609	1.07396	0.176787
NI	15.9756	1.74293	1.95336	0.252871
IN	16.4802	1.93414	2.14921	0.448301
D	8.58587	0.368783	0.490273	0.0651172

