%   0.95 |  7925153 |    21575 |      100 | 1.53e-06 | 1.26e-05 ||     0.35 |     0.12 | 15180.26 ||     0.33 | 35h49'01  
X	EB	CB	AB	CF
NN	12.191	8.96857	9.36665	0.449826
II	12.1863	8.93149	9.33358	0.286979
NI	15.7989	12.0276	12.4935	0.392511
IN	16.3056	12.4393	12.9169	0.603772
%D	11.2328	3.93654	4.8379	0.113105
