#"SCL_{ptr} L=8 CRC_{32} SPC_{4} p=16"
# ./bin/aff3ct --sim-type BFER --cde-type POLAR -m 2.5 -M 2.5 --src-type AZCW --chn-type AWGN_FAST --dec-simd INTRA -L 8 --crc-type FAST --crc-poly 32-GZIP -t 1 --dec-polar-nodes {R0,R0L,R1,REP,REPL,SPC_4} -p 16 --cde-fb-gen-method GA --dec-type SCL_MEM
N 	 K 	 R 	 Eb/N0 	 CTHR 	 ITHR
128 	 64 	 0.5 	 2.50 	 7.24 	 3.62
256 	 128 	 0.5 	 2.50 	 7.78 	 3.89
512 	 256 	 0.5 	 2.50 	 8.34 	 4.17
1024 	 512 	 0.5 	 2.50 	 8.92 	 4.46
2048 	 1024 	 0.5 	 2.50 	 9.81 	 4.91
4096 	 2048 	 0.5 	 2.50 	 10.45 	 5.22
8192 	 4096 	 0.5 	 2.50 	 11.09 	 5.55
16384 	 8192 	 0.5 	 2.50 	 11.35 	 5.68
32768 	 16384 	 0.5 	 2.50 	 11.91 	 5.95
65536 	 32768 	 0.5 	 2.50 	 12.39 	 6.20
131072 	 65536 	 0.5 	 2.50 	 12.35 	 6.18
262144 	 131072 	 0.5 	 2.50 	 12.36 	 6.18
524288 	 262144 	 0.5 	 2.50 	 12.09 	 6.05
1048576 	 524288 	 0.5 	 2.50 	 11.69 	 5.84
2097152 	 1048576 	 0.5 	 2.50 	 11.08 	 5.54
4194304 	 2097152 	 0.5 	 2.50 	 10.71 	 5.35
