#"SCL_{cpy} L=8 CRC_{32} SPC_{4} p=32"
# ./bin/aff3ct --sim-type BFER --cde-type POLAR -m 2.5 -M 2.5 --src-type AZCW --chn-type AWGN_FAST --dec-simd INTRA -L 8 --crc-type FAST --crc-poly 32-GZIP -t 1 --dec-polar-nodes {R0,R0L,R1,REP,REPL,SPC_4} -p 32 --cde-fb-gen-method GA --dec-type SCL
N 	 K 	 R 	 Eb/N0 	 CTHR 	 ITHR
128 	 64 	 0.5 	 2.50 	 8.91 	 4.46
256 	 128 	 0.5 	 2.50 	 9.84 	 4.92
512 	 256 	 0.5 	 2.50 	 10.29 	 5.15
1024 	 512 	 0.5 	 2.50 	 10.96 	 5.48
2048 	 1024 	 0.5 	 2.50 	 11.64 	 5.82
4096 	 2048 	 0.5 	 2.50 	 11.69 	 5.84
8192 	 4096 	 0.5 	 2.50 	 10.99 	 5.49
16384 	 8192 	 0.5 	 2.50 	 9.41 	 4.71
32768 	 16384 	 0.5 	 2.50 	 7.57 	 3.79
65536 	 32768 	 0.5 	 2.50 	 5.11 	 2.56
131072 	 65536 	 0.5 	 2.50 	 3.34 	 1.67
262144 	 131072 	 0.5 	 2.50 	 1.79 	 0.89
524288 	 262144 	 0.5 	 2.50 	 0.58 	 0.29
1048576 	 524288 	 0.5 	 2.50 	 0.22 	 0.11
2097152 	 1048576 	 0.5 	 2.50 	 0.09 	 0.05
4194304 	 2097152 	 0.5 	 2.50 	 0.04 	 0.02
