#"SCL_{cpy} L=8 CRC_{32} SPC_{4} p=16"
# ./bin/aff3ct --sim-type BFER --cde-type POLAR -m 2.5 -M 2.5 --src-type AZCW --chn-type AWGN_FAST --dec-simd INTRA -L 8 --crc-type FAST --crc-poly 32-GZIP -t 1 --dec-polar-nodes {R0,R0L,R1,REP,REPL,SPC_4} -p 16 --cde-fb-gen-method GA --dec-type SCL
N 	 K 	 R 	 Eb/N0 	 CTHR 	 ITHR
128 	 64 	 0.5 	 2.50 	 8.25 	 4.13
256 	 128 	 0.5 	 2.50 	 9.24 	 4.62
512 	 256 	 0.5 	 2.50 	 10.05 	 5.03
1024 	 512 	 0.5 	 2.50 	 10.75 	 5.38
2048 	 1024 	 0.5 	 2.50 	 11.80 	 5.90
4096 	 2048 	 0.5 	 2.50 	 12.21 	 6.10
8192 	 4096 	 0.5 	 2.50 	 12.36 	 6.18
16384 	 8192 	 0.5 	 2.50 	 11.41 	 5.70
32768 	 16384 	 0.5 	 2.50 	 10.09 	 5.05
65536 	 32768 	 0.5 	 2.50 	 7.92 	 3.96
131072 	 65536 	 0.5 	 2.50 	 5.68 	 2.84
262144 	 131072 	 0.5 	 2.50 	 3.64 	 1.82
524288 	 262144 	 0.5 	 2.50 	 1.75 	 0.87
1048576 	 524288 	 0.5 	 2.50 	 0.62 	 0.31
2097152 	 1048576 	 0.5 	 2.50 	 0.21 	 0.10
4194304 	 2097152 	 0.5 	 2.50 	 0.08 	 0.04
