#"SCL_{ptr} L=8 CRC_{32} SPC_{4} p=8"
# ./bin/aff3ct --sim-type BFER --cde-type POLAR -m 2.5 -M 2.5 --src-type AZCW --chn-type AWGN_FAST --dec-simd INTRA -L 8 --crc-type FAST --crc-poly 32-GZIP -t 1 --dec-polar-nodes {R0,R0L,R1,REP,REPL,SPC_4} -p 8 --cde-fb-gen-method GA --dec-type SCL_MEM
N 	 K 	 R 	 Eb/N0 	 CTHR 	 ITHR
128 	 64 	 0.5 	 2.50 	 6.98 	 3.49
256 	 128 	 0.5 	 2.50 	 7.65 	 3.83
512 	 256 	 0.5 	 2.50 	 7.95 	 3.98
1024 	 512 	 0.5 	 2.50 	 8.24 	 4.12
2048 	 1024 	 0.5 	 2.50 	 8.90 	 4.45
4096 	 2048 	 0.5 	 2.50 	 9.06 	 4.53
8192 	 4096 	 0.5 	 2.50 	 9.69 	 4.85
16384 	 8192 	 0.5 	 2.50 	 9.94 	 4.97
32768 	 16384 	 0.5 	 2.50 	 10.20 	 5.10
65536 	 32768 	 0.5 	 2.50 	 10.53 	 5.27
131072 	 65536 	 0.5 	 2.50 	 10.50 	 5.25
262144 	 131072 	 0.5 	 2.50 	 10.36 	 5.18
524288 	 262144 	 0.5 	 2.50 	 10.75 	 5.37
1048576 	 524288 	 0.5 	 2.50 	 10.95 	 5.48
2097152 	 1048576 	 0.5 	 2.50 	 11.10 	 5.55
4194304 	 2097152 	 0.5 	 2.50 	 11.18 	 5.59
