R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.0870067	0.0896132	0.00971973	0.00899664	0.00203475	0.00216928	1.68161e-05	5.60538e-06
1	0.00613229	0.00403587	0.0128531	0.0120628	0.000644619	0.000661435	4.48431e-05	3.92377e-05
2	0.0569226	0.060667	0.0155213	0.0146525	0.00322309	0.00346413	0.000117713	8.96861e-05
3	0.00964126	0.00773543	0.018111	0.0171861	0.00134529	0.00133408	0.000207399	0.000213004
4	0.0494507	0.0507287	0.0196076	0.0188004	0.0040583	0.00438901	0.000403587	0.000347534
5	0.014148	0.0121805	0.022898	0.0211435	0.00221973	0.00212444	0.000650224	0.000504484
6	0.0472366	0.0490247	0.0255157	0.0246076	0.00585202	0.00535874	0.000868834	0.00073991
7	0.0192713	0.0173935	0.0288509	0.0273487	0.00383969	0.00355942	0.00161435	0.00132287
8	0.0483184	0.0496861	0.0336435	0.0307791	0.00753363	0.00735987	0.00227018	0.00204596
9	0.0285594	0.0263061	0.0372926	0.0352971	0.0058296	0.0057287	0.00336323	0.00317825
10	0.0540751	0.0553027	0.0438509	0.039602	0.00993834	0.0105774	0.00483744	0.00439462
11	0.0412892	0.0401177	0.0494619	0.0449383	0.00932735	0.00929372	0.00713004	0.0061435
12	0.0628644	0.0634529	0.054602	0.0508128	0.0146413	0.0136323	0.00951794	0.00849215
13	0.0536996	0.0525841	0.0590191	0.0558913	0.0124944	0.0129709	0.0120796	0.0104372
14	0.0642881	0.066009	0.0628924	0.0603587	0.0155661	0.0153924	0.0136715	0.0129204
15	0.0546861	0.053167	0.0619843	0.0616648	0.0134697	0.0135706	0.0146693	0.0142657
16	0.0517937	0.0519899	0.0602859	0.0605325	0.01287	0.0130717	0.0156054	0.0152242
17	0.0377803	0.0369787	0.0536099	0.0558128	0.00914238	0.00915359	0.0148655	0.0145908
18	0.0277803	0.0280101	0.0452242	0.0493498	0.00704036	0.00721973	0.0124383	0.0134809
19	0.0170011	0.0168498	0.0367993	0.0400112	0.00422085	0.00433296	0.0101906	0.0111827
20	0.00987668	0.0100897	0.0273711	0.0326457	0.00274103	0.00257287	0.00738789	0.00853139
21	0.00497197	0.00479821	0.0209417	0.0246637	0.00110426	0.00108184	0.00548767	0.00663677
22	0.00199552	0.00222534	0.0150953	0.0184193	0.000554933	0.000661435	0.00406951	0.00447309
23	0.000829596	0.0007287	0.010824	0.0131558	0.000168161	0.000213004	0.00271861	0.00327915
24	0.000313901	0.000252242	0.00822309	0.00982623	0.000100897	5.60538e-05	0.00204596	0.00246637
25	6.72646e-05	7.84753e-05	0.00580718	0.00730942	2.24215e-05	2.80269e-05	0.00127242	0.00172646
26	1.12108e-05	5.60538e-06	0.00379484	0.00495516	5.60538e-06	1.12108e-05	0.000992152	0.00112108
27	0	0	0.00276345	0.00346973	0	0	0.000689462	0.000852018
28	0	0	0.00167601	0.00249439	0	0	0.000392377	0.000599776
29	0	0	0.00109305	0.00160874	0	0	0.000241031	0.000325112
30	0	0	0.000482063	0.000997758	0	0	8.96861e-05	0.000235426
31	0	0	0.000196188	0.00043722	0	0	3.92377e-05	8.40807e-05
