X Y0.1 Y0.3 Y0.5 Y0.7 Y0.9 Y1.1 Y1.3 Y1.5
1 0 1 1 2 7 58 93 95
2 3 23 39 36 76 190 197 188
3 2 8 20 35 59 94 91 101
4 0 8 12 14 23 36 41 37
5 4 5 10 32 36 53 43 35
6 2 2 7 19 19 17 4 5
7 1 2 9 13 13 9 8 7
8 3 7 10 17 18 4 2 2
9 1 7 7 7 8 17 11 9
10 3 1 5 10 9 1 1 2
11 4 5 8 7 5 2 0 0
12 2 4 6 6 6 1 1 0
13 0 3 7 7 7 2 0 0
14 2 3 4 6 3 1 1 5
15 0 2 10 6 10 0 0 0
16 5 6 9 6 5 0 1 3
17 3 2 4 9 8 1 0 0
18 2 5 2 4 6 0 0 1
19 1 0 5 2 4 1 0 0
20 2 5 2 8 8 0 1 3
21 479 412 325 254 170 13 5 7
22   0    0   0   0   0   0   0

























