Occ  0.0  0.4 0.8 1.2 1.6 2.0 2.4
1  0  2  1  1  11  53  87
2  2  4  13  20  29  58  73
3  2  10  13  36  74  176  196
4  0  5  12  14  14  16  11
5  2  7  10  14  22  19  12
6  0  8  8  18  21  37  23
7  2  7  9  9  18  17  5
8  1  5  7  12  18  12  8
9  2  5  7  16  46  73  72
10  2  5  3  13  21  9  2
11  2  3  2  9  8  1  3
12  3  2  5  10  19  11  4
13  4  4  4  7  9  1  1
14  5  3  7  4  10  3  0
15  1  4  9  10  7  2  0
16  2  4  3  5  10  5  1
17  2  2  7  5  8  2  2
18  3  2  3  8  9  1  0
19  0  3  5  10  10  1  0
20  2  4  7  4  9  0  0
21  481  421  369  275  127  3  0
22   0    0   0   0   0   0   0





















