Occ  0.0  0.4 0.8 1.2 1.6 2.0 2.4
1    1    1   3   0   5   21  24
2    1    5   10  19  33  55  70
3    3    4   13  19  39  113 187
4    1    5   5   5   9   9   7
5    1    3   12  9   10  17  13
6    1    8   4   12  29  43  49
7    0    6   7   8   15  8   7
8    1    0   6   12  14  8   4
9    1    4   10  6   42  140 115
10   0    3   3   8   17  12  7
11   4    5   5   7   9   11  5
12   0    1   7   13  17  9   4
13   3    2   4   18  10  9   4
14   2    4   7   11  7   6   1
15   1    3   3   5   8   7   0
16   1    2   7   7   4   11  3
17   1    4   6   9   15  4   0
18   2    5   4   8   9   5   0
19   2    1   8   12  6   2   0
20   1    4   4   8   10  1   0
21   492  443 374 304 192 9   0
22   0    0   0   0   0   0   0










