Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	
19	0	0	1	0	0	662	0	0	623	0	510	595	579	9	675	0	544	0	593	0	595	491	0	0	559	0	0	0	0	592	0	590	581	657	0	545	0	0	0	0	0	0	0	0	18	0	0	2	0	0	0	575	0	4	0	0	0	0	0	609	0	581	0	591	0	0	643	0	0	0	0	523	515	0	603	
20	0	0	1	0	0	570	0	0	648	0	558	565	618	4	640	0	522	0	602	0	613	595	0	0	580	0	0	0	0	627	0	571	555	717	0	558	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	611	0	2	0	0	0	0	0	638	0	547	0	622	0	0	571	0	0	0	0	534	446	0	485	
21	0	0	1	0	0	528	0	0	679	0	581	514	614	7	549	0	523	0	544	0	673	607	0	0	555	0	0	0	0	668	0	506	654	695	0	584	0	0	0	0	0	0	0	0	24	0	0	3	0	0	0	572	0	1	0	0	0	0	0	575	0	546	0	578	0	0	637	0	0	0	0	500	412	0	468	
22	0	0	1	0	0	586	0	0	644	0	555	446	563	5	649	0	552	0	576	0	665	530	0	0	599	0	0	0	0	653	0	565	598	687	0	598	0	0	0	0	0	0	0	0	45	0	0	1	0	0	0	579	0	2	0	0	0	0	0	554	0	529	0	538	0	0	619	0	0	0	0	538	425	0	497	
23	0	0	1	0	0	597	0	0	666	0	559	463	592	5	607	0	554	0	559	0	683	536	0	0	553	0	0	0	0	593	0	602	669	712	0	511	0	0	0	0	0	0	0	0	25	0	0	2	0	0	0	601	0	4	0	0	0	0	0	562	0	537	0	517	0	0	712	0	0	0	0	524	513	0	480	
24	0	0	1	0	0	589	0	0	724	0	570	487	558	7	621	0	562	0	581	0	633	552	0	0	590	0	0	0	0	625	0	535	621	646	0	504	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	579	0	2	0	0	0	0	0	649	0	602	0	576	0	0	652	0	0	0	0	519	516	0	526	
25	0	0	1	0	0	630	0	0	621	0	597	465	601	8	620	0	564	0	584	0	673	602	0	0	634	0	0	0	0	658	0	585	573	701	0	513	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	587	0	3	0	0	0	0	0	634	0	551	0	556	0	0	491	0	0	0	0	594	498	0	523	
26	0	0	1	0	0	640	0	0	630	0	546	476	589	11	542	0	487	0	533	0	653	509	0	0	649	0	0	0	0	699	0	601	621	634	0	524	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	580	0	4	0	0	0	0	0	704	0	583	0	528	0	0	542	0	0	0	0	505	423	0	574	
27	0	0	1	0	0	621	0	0	554	0	535	557	508	6	528	0	487	0	564	0	633	544	0	0	558	0	0	0	0	666	0	572	606	625	0	507	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	588	0	0	0	0	0	0	0	580	0	551	0	482	0	0	543	0	0	0	0	529	376	0	537	
28	0	0	1	0	0	692	0	0	578	0	494	584	477	8	534	0	470	0	551	0	621	560	0	0	537	0	0	0	0	664	0	609	675	670	0	447	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	540	0	2	0	0	0	0	0	599	0	485	0	489	0	0	586	0	0	0	0	598	339	0	565	
29	0	0	1	0	0	662	0	0	645	0	481	606	479	5	482	0	504	0	514	0	628	507	0	0	653	0	0	0	0	651	0	501	644	612	0	463	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	613	0	3	0	0	0	0	0	726	0	412	0	500	0	0	543	0	0	0	0	547	294	0	482	
30	0	0	1	0	0	634	0	0	618	0	572	630	464	7	527	0	505	0	565	0	542	442	0	0	672	0	0	0	0	621	0	597	655	608	0	448	0	0	0	0	0	0	0	0	37	0	0	1	0	0	0	642	0	2	0	0	0	0	0	672	0	472	0	487	0	0	509	0	0	0	0	542	194	0	469	
